	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
958	絶体絶命 鉄壁のルフィ包囲網!	Zettai Zetsumei - Teppeki no Rufi Hōimō!	A Desperate Situation - The Iron-Tight Entrapment of Luffy!	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	北崎正浩 - Masahiro Kitazaki	上田芳裕 - Yoshihiro Ueda	Chapter 897 (p. 2-17) ::: 	Episode 872
959	最後の砦 タイヨウの海賊団現る	Saigo no Toride - Taiyō no Kaizoku-dan Arawaru	The Last Hope - The Sun Pirates Emerge	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	上田芳裕 - Yoshihiro Ueda	Chapter 899 (p. 2-17) ::: 	Episode 874
960	世界会議（レヴェリー）へ 集結! 麦わらの盟友達	Reverī e - Shūketsu! Mugiwara no Meiyū-tachi	To the Levely - The Straw Hats' Sworn Allies Come Together	田中仁 - Hitoshi Tanaka	齋藤優 - Yū Saitō	新垣重文 - Shigefumi Shingaki	上田芳裕 - Yoshihiro Ueda	Chapter 903 (p. 5 :::  8-17) ::: 	Episode 879
961	聖地の闇 謎の巨大な麦わら帽子	Seichi no Yami - Nazo no Kyodaina Mugiwara-bōshi	In the Dark Recesses of the Holyland - A Mysterious Giant Straw Hat	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	久田和也 - Kazuya Hisada ::: 島貫正弘 - Masahiro Shimanuki	上田芳裕 - Yoshihiro Ueda	Chapter 864 (p. 1) ::: 	Episode 885
962	遂に開幕 陰謀渦巻く世界会議（レヴェリー）!	Tsui ni Kaimaku - Inbō Uzumaku Reverī!	Finally, It Starts - The Conspiracy-filled Levely!	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	出口としお - Toshio Deguchi	上田芳裕 - Yoshihiro Ueda	Chapter 908 (p. 10-17) ::: 	Episode 889
963	フランキー一家とアイスバーグさん	Furankī ikka to Aisubāgu-san	The Franky Family and Iceburg!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 	近藤優次 - Yuji Kondou	向中野義雄 - Yoshio Mukainakano	325 p.2-5 :::  10-19 ::: 326 p.2-13	Episode 231
964	ゴムゴム人間VS火を吹く改造人間（サイボーグ）	Gomu Gomu Ningen tai Hi o Fuku Saibōgu	Rubberman vs. Fire-Breathing Cyborg	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	近藤優次 - Yuji Kondou	向中野義雄 - Yoshio Mukainakano	335 p.15-18 :::  336 p.2-19 :::  337 p.2-14	Episode 238
965	必殺足技炸裂！サンジVS鉄壁のパール	Hissatsu Ashiwaza Sakuretsu! Sanji tai Teppeki no Pāru	The Emergence of the Superb Kicking Skill: Sanji vs. the Iron Wall Pearl	島田満 - Michiru Shimada	千田国広 - Kunihiro Senda	井手武生  - Takeo Ide	遠藤勇二 - Yuji Endo	Chapter 53 (p. 2-19) ::: Chapter 54 (p. 2-19) ::: Chapter 55 (p. 2-19)	Episode 25
966	東の海最悪の男！魚人海賊アーロン！	Higashi no umi saiaku no otoko! Gyojin kaizoku Āron!	The Most Wicked Man of East Blue, Fish-Man Pirate Arlong	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato	袴田裕二 - Yuji Hakamada	遠藤勇二 - Yuji Endo	Chapter 69 (p. 2-21) ::: Chapter 70 (p. 2-12) ::: Chapter 71 (p. 5-8)	Episode 31
967	ルフィ大ピンチ!魚人VSルフィ海賊団	Rufi Dai Pinchi! Gyojin tai Rufi Kaizokudan	Luffy in Trouble! Fish-Men vs. Luffy Pirates!	島田満 - Michiru Shimada	吉田智子 - Tomoko Yoshida	袴田裕二 - Yuji Hakamada	遠藤勇二 - Yuji Endo	Chapter 82 (p. 2-19) ::: Chapter 83 (p. 2-19)	Episode 38
968	太古の島！リトルガーデンに潜む影！	Taiko no shima! Ritoru Gāden ni hisomu kage!	An Ancient Island! The Shadow Lurking in Little Garden!	武上純希 - Junki Takegami	杦浦正一郎 - Seiichiro Sugiura	久田和也 - Kazuya Hisada	遠藤勇二 - Yuji Endo	115 (pp. 2-19) ::: 117 (pp. 2-4)	Episode 70
969	さらば巨人の島！アラバスタを目指せ	Saraba kyojin no shima! Arabasuta o mezase!	Farewell to the Giants' Island! On to Arabasta!	武上純希 - Junki Takegami	内川文広 - Fumihiro Uchikawa	久田和也 - Kazuya Hisada	遠藤勇二 - Yuji Endo	127 (pp. 2-19) ::: 128 (pp. 7-21) ::: 129 (pp. 2-9)	Episode 77
970	アラバスタの英雄と船上のバレリーナ	Arabasuta no eiyū to senjō no barerīna	The Hero of Arabasta and the Ballerina on Deck	武上純希 - Junki Takegami	内川文広 - Fumihiro Uchikawa	小泉昇 - Noboru Koizumi	遠藤勇二 - Yuji Endo	Chapter 155 (p. 2-13) ::: Chapter 156 (p. 2-19) ::: Chapter 157 (p. 2-10) ::: 	Episode 92
